Sample,Site,Date,Augochlora,Augochlorella,Agapostemon,Halitus,Sphecodes,Lasioglossum,Apis,Ceratina,Holcopasites,Hylaeus,Megachile,Heriades,Andrena
B6,SNY,6/5/2019,0,0,0,0,0,1,0,0,0,0,0,0,0
B10,DGM,6/13/2019,0,0,0,0,0,3,0,0,0,0,0,0,0
B12,BFB,6/13/2019,0,1,2,0,0,1,0,0,0,0,0,0,0
B14,BFB,6/13/2019,0,0,0,0,0,3,0,0,0,0,0,0,0
B7,SSH,6/13/2019,0,1,0,0,0,0,0,0,0,0,0,0,0
B9,DGM,6/13/2019,0,0,0,0,0,1,0,0,0,0,0,0,0
B22,DAL,6/20/2019,0,0,0,0,0,1,0,0,0,0,0,0,0
B25,BAL,6/20/2019,0,0,0,0,0,3,0,0,0,0,0,0,0
B29,WLR,7/10/2019,0,0,0,0,0,5,0,0,0,0,0,0,0
B30,WLR,7/10/2019,0,1,0,0,0,5,0,1,0,0,0,0,0
B31,WPR,7/10/2019,0,0,0,0,0,7,0,0,0,0,0,0,0
B32,WPR,7/10/2019,0,0,0,0,0,6,0,0,0,0,0,0,0
B33,SNY,7/10/2019,0,0,0,0,0,7,0,0,0,0,1,0,0
B34,SNY,7/10/2019,0,0,0,0,0,5,0,0,0,0,0,0,0
B36,SSH,7/18/2019,0,2,0,0,0,1,0,0,0,0,0,0,0
B38,DGM,7/18/2019,1,0,0,0,0,2,0,0,0,0,0,0,0
B39,DGM,7/18/2019,0,0,0,0,0,5,0,0,0,0,0,0,0
B40,BFB,7/18/2019,0,0,0,0,0,4,0,0,0,0,0,0,0
B41,BFB,7/18/2019,0,0,0,1,0,2,0,0,0,0,0,0,0
B42,BFB,7/18/2019,0,0,2,1,0,3,0,0,0,0,0,0,0
B52,DAL,7/25/2019,0,0,0,0,0,0,0,0,0,2,0,0,0
B57,WLR,8/8/2019,0,0,0,0,0,1,0,0,0,0,0,0,0
B58,WLR,8/8/2019,0,0,0,0,0,2,0,0,0,0,0,0,0
B60,WPR,8/8/2019,0,0,0,0,0,1,0,0,0,0,0,0,0
B61,SNY,8/8/2019,0,1,0,0,0,0,0,0,0,0,0,0,0
B80,DAL,8/14/2019,0,0,0,0,0,1,0,0,0,0,0,0,0
B64,SSH,8/22/2019,0,1,0,0,0,1,0,0,0,0,0,0,0
B67,DGM,8/22/2019,0,0,0,0,0,1,0,0,0,0,0,0,0
B70,BFB,8/22/2019,1,0,0,0,0,1,0,0,0,0,0,0,0
B71,BFB,8/22/2019,0,0,0,0,0,1,0,0,0,0,0,0,0
B72,BFB,8/22/2019,0,0,0,0,0,0,1,0,0,0,0,0,0
